,rating,review,displayName,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,score,timeFromCreation,user.displayName,user.accountLink,user.realm,user.userId,displayImageUrl
13,4.5,"Plot is very simple but it's feel-good action movie. The whole cast acted passionately. Though it started like an old Hentai with music that you hear in a spa and a brief setup, I really enjoyed the movie. You'll leave feeling good and maybe inspired.",Max L,FALSE,FALSE,FALSE,FALSE,4.5,10h ago,Max L,/user/id/2cad4d10-a651-4a73-9f80-56040cad1e4e,RT,2cad4d10-a651-4a73-9f80-56040cad1e4e,
14,5,best blockbuster ever. !!!,fatih ,FALSE,FALSE,FALSE,FALSE,5,11h ago,fatih ,/user/id/Google_112465002513662139803,RT,Google_112465002513662139803,
15,5,Loved it! Similar to the original but still different. Not just another remake,Bobbi,TRUE,FALSE,FALSE,FALSE,5,11h ago,Bobbi,,Fandango,9025857e-ed24-46e6-bd5e-11c6da0a0a9f,
16,5,Was expected this Part II to be less than the first Top Gun. I was soooo wrong!!! This is a great follow up and I would definitely see it again. 👍🏽👍🏽,Kathy,FALSE,FALSE,FALSE,FALSE,5,12h ago,Kathy,,Fandango,032606F3-0F25-4866-8B27-8A03947B45F1,
17,5,One of Tom’s Best movies.,Peeper,TRUE,FALSE,FALSE,FALSE,5,12h ago,Peeper,,Fandango,20FAABF3-248B-4E54-B1A4-B51C768C794D,
18,4,"Without context, whoa! Wow! Bob",Justin,TRUE,FALSE,FALSE,FALSE,4,13h ago,Justin,,Fandango,3ed8fb70-f351-47b4-8c6b-853714e7bf44,
19,5,Once in a lifetime movie,Armando A,FALSE,FALSE,FALSE,FALSE,5,13h ago,Armando A,/user/id/Google_107615312521283554073,RT,Google_107615312521283554073,
20,5,Best movie I have seen in years! I was on the edge of my seat until the very last minute and couldn’t wait to see it again. A must watch! ,,FALSE,FALSE,FALSE,FALSE,5,13h ago,,,Flixster,3c5dcf18-f14d-4503-b3cd-08c5c1fc70d8,
21,5,Definitely one to watch in the movies game changer,Andrew,TRUE,FALSE,FALSE,FALSE,5,14h ago,Andrew,,Fandango,F014EFE3-DD4B-4552-BFEF-976FAC742E3D,
22,5,"An outstanding achievement in filmmaking, acting, producing and artwork this movie is an absolute masterpiece the sequal to the 1986 original classic top gun is a staggering work filled with great production values and cinematography and acting Tom cruise gives arguably the best performance of his career I hope he gets nominated and even win an Oscar he was outstanding I loved his charachter and I love this movies powerful message everyone in the theatre literally clapped at the ending of this powerful movie and as did I it had visually stunning aviation scenes flight scenes and action and the look of the jets and planes looked really excellent it is respectful to real life navy jets and just an overall tribute to the military Air Force and Marrines it is a lesson and even a movie to watch to know how doing jet flying looks like the entire alll star cast is great the movie is heartbreaking, emotional and astonishing there is even a sad moment when cruise's maverick meets Val killers iceman and it's even sadder in the moment when they are at his funeral it's also nice to see Jennifer Connolly here even though Kelly mcgillis is absent here Connolly is still a solid new love interest to maverick and the chemistry between them captures the magic of the chemistry he had with Mcgillis in the original and yess this Sequal is better than the original it's one of those few sequels that's better than the original film along with terminator 2 judgment day with the terminator 1984 this film is amazing and Tom cruise rules it is more proof why Tom cruise is one of the best actors of all time and why his talent is important this movie represents the best of mainstream Hollywood Jerry Bruckheimer and director Joseph Kosinski did great job here and especially congrats to Jerry Bruckheimer  for pulling the best of him as a producer and even in general he better win an Oscar for this top gun 2 is a strong contendor for best picture nomination and I highly hope it wins with both Tom cruise and Jerry Bruckheimer winning the awards truly astonishing 10/10 A+",Parker D,FALSE,FALSE,FALSE,FALSE,5,14h ago,Parker D,/user/id/Google_113255485376723742149,RT,Google_113255485376723742149,
23,5,Outstanding movie! Probably my favorite of the year with great everything! My 8 year old son literally jumped out of hit seat during the climax of the movie! Highly recommended!,Gary B,FALSE,FALSE,FALSE,FALSE,5,15h ago,Gary B,/user/id/f7df0397-5358-4b8b-85f5-c292b40d92e4,RT,f7df0397-5358-4b8b-85f5-c292b40d92e4,
24,5,Awesome movie. Way better than expected! Well done.,TWhitfield,TRUE,FALSE,FALSE,FALSE,5,15h ago,TWhitfield,,Fandango,5EB0504A-94AA-4933-A2FA-3199FEF4D8AD,
25,1,"We liked the Tomahawk missiles flying over the low flying fighter jets.  Enjoyed seeing Tom Cruise actually fly off the carrier ship.
Good action scenes on the jet!.",Karen F,TRUE,FALSE,FALSE,FALSE,1,16h ago,Karen F,,Fandango,62ad9625-bedf-4479-b100-1b4d8e193a5f,
26,5,A masterpiece of entertainment. It shows how the entertainment movie should be. Wonderful sound. Interesting story. Funny moments. Pleasant nostalgia.,Andrzej K,FALSE,FALSE,FALSE,FALSE,5,16h ago,Andrzej K,/user/id/Google_116368662481724032682,RT,Google_116368662481724032682,
27,5,"Awesome movie...(even more if you are a fan of 1st)
I had high expectations for this one, but knowing it would be very hard do surpass the first one.. 
BUT I have to say it is the same old adrenaline, maybe a bit more if you watched the 1st when it came out and you have a old vibe of comparing some scenes while watching this one.
YES The story is a bit far fetched specially the planes they are using BUT for me does not take the merit of the movie at all.

Tom cruise is a alien.. he does not get old lol",Rui C,FALSE,FALSE,FALSE,FALSE,5,17h ago,Rui C,/user/id/Facebook_10157319072317303,RT,Facebook_10157319072317303,
28,5,"I paid for a cinema seat but only managed to sit on the edge. 

Absolute class film. Best in a decade.",Ben R,FALSE,FALSE,FALSE,FALSE,5,17h ago,Ben R,/user/id/Google_111350046351763430823,RT,Google_111350046351763430823,
29,4.5,"I would have liked it if at the end the ""Calvary"" of US Fighters had showed up along with great music to go with it. Otherwise it was a great movie.",MAK,TRUE,FALSE,FALSE,FALSE,4.5,18h ago,MAK,,Fandango,0fada504-0568-4af7-809a-500ab1e03187,
30,5,The best movie I have seen in quite some time.  It is even better than the first movie.  Aviation masterpiece.  It is like you are there in the jet.,Great G,FALSE,FALSE,FALSE,FALSE,5,19h ago,Great G,/user/id/Google_116893980023578495733,RT,Google_116893980023578495733,
31,5,"Amazing film. Please Hollywood, take a hint.",Julian I. V,FALSE,FALSE,FALSE,FALSE,5,20h ago,Julian I. V,/user/id/Google_116645395643663374467,RT,Google_116645395643663374467,
32,5,This movies brought back so many memories... Wow... Just wow... Everything was just as it was supposed to be...,Alexandru H,FALSE,FALSE,FALSE,FALSE,5,21h ago,Alexandru H,/user/id/Facebook_684643658,RT,Facebook_684643658,
33,5,"Melhor filme em muito tempo, assistam sem medo.",Victor V,FALSE,FALSE,FALSE,FALSE,5,22h ago,Victor V,/user/id/Google_102884654099586016422,RT,Google_102884654099586016422,
34,5,"It's becoming very rare go out to watch movies and leave the theaters with that glimpse eyes, renewed heart and a breath of relieve - so many years fighting against greed enterprises with theirs sense of justice and lecturing when I just wanted to have fun and dream dream dream. Top Gun Maverick should become the new standard ♥",Dhin C,FALSE,FALSE,FALSE,FALSE,5,22h ago,Dhin C,/user/id/cc4d0b10-cb01-4ea5-8f2c-cf6b89c40b64,RT,cc4d0b10-cb01-4ea5-8f2c-cf6b89c40b64,
35,5,A really entertaining and fun movie. So far the best movie of the year 2022.,Jens-Erik B,FALSE,FALSE,FALSE,FALSE,5,23h ago,Jens-Erik B,/user/id/641a6a87-b96a-4cd6-9115-2e50d8f30864,RT,641a6a87-b96a-4cd6-9115-2e50d8f30864,
36,5,Lots of action. I'd like to see it again.,Andrea  D,TRUE,FALSE,FALSE,FALSE,5,23h ago,Andrea  D,,Fandango,c9461052-247f-40d8-9964-51d8f34c703b,
37,3,"I've seen the original atleast 40 times (20 times while it was still in theaters in 1986) so I didn't know what to expect coming into seeing Maverick. Well it wasn't as great as I thought it might be....didn't seem to have the same energy the original had. I'm a huge military buff and am pretty familiar with how the military would handle things such as a missions, etc, and the storyline just seemed meh, it just didn't seem plausible....I know its just a movie and a made up story, but the military would never do a mission like that with F/A-18s. That would be a mission using B-2's. Honestly even the original Iron Eagle blows Top Gun: Maverick out the window. Pretty sure I'll never watch this one as many times as the original. They should have just left it at the original instead of trying to do whatever it was they think they did with this one",Keith N,FALSE,FALSE,FALSE,FALSE,3,23h ago,Keith N,/user/id/Google_103113537900623539556,RT,Google_103113537900623539556,
38,5,"I re-watched Top Gun in IMAX. The sound, graphics etc. made it so much better, of course!",KB,TRUE,FALSE,FALSE,FALSE,5,1d ago,KB,,Fandango,b9e8c135-49e3-4067-8059-3b7362fc5e7d,
39,5,Great movie! Pulled you in and kept you invested the whole time.,Linda Blakeslee,TRUE,FALSE,FALSE,FALSE,5,1d ago,Linda Blakeslee,,Fandango,31d53ed4-de76-4a3b-837c-900138fb6df4,
40,5,"It became one of my all time favorite movies instantly. The acting, the action, the effects, the story...everything. Thrilling from start to finish. I'll be seeing it as often as possible while it is still in theaters.",Craig,TRUE,FALSE,FALSE,FALSE,5,1d ago,Craig,,Fandango,08b46072-f084-4db3-b624-9e485696d900,
41,5,"Oh man, this movie brings back so much good feelings from the 80's movies. This is a masterpiece.",Lucas L,FALSE,FALSE,FALSE,FALSE,5,1d ago,Lucas L,/user/id/Google_103274381157208177840,RT,Google_103274381157208177840,
42,5,"The original Top Gun film came out when I was only two years old. From the first time I saw the film as a child I was hooked. It has remained one of my favorite movies through the years. Today I was able to watch Top Gun ""Maverick "" with my sons and not only did it exceed my expectations, but I was able to experience it with my sons who loved the film. Not often do sequels top their predecessors, but this film does just that. The ability to experience this movie with my children was priceless and created a memory that will last a lifetime. This movie is a must-see and will not disappoint.",Todd D,FALSE,FALSE,FALSE,FALSE,5,1d ago,Todd D,/user/id/Google_117373428933981820851,RT,Google_117373428933981820851,
43,4,"I'm giving four stars for nostalgic reasons. The first movie I saw was in the summer before I turn 10 years old. I saw it with my father who at that time was Command Master Chief of 3rd Fleet out of Hawaii. The flleets have changed and the times have changed. The beginning was extremely awesome with the music going back to the first one. But, the movie is self-serving and the lead actor which is Tom Cruise is extremely self-serving and egotastic. It could've been managed so much better. I feel that the movie was aiming for a younger crowd that has never seen the first movie to begin with. The attention span of younger viewers is not so great so I understand a bit why but if you're going to do a movie like top gun, do it so right and so amazing that it will go down in history like the first one. Bottom line, if it didn't start off so great it would be two stars. Tom Cruise needs to come down a couple of notches. I got a couple of veterans that would like to talk to him about this.",Mike F,FALSE,FALSE,FALSE,FALSE,4,1d ago,Mike F,/user/id/Google_113112297951967992208,RT,Google_113112297951967992208,
44,5,"I liked everything about it. The sound effects, the whole cast. It was very nostalgic for me. Ive seen it 5 times. First time on the Screen X. Loved it.",Eileen Pierce,TRUE,FALSE,FALSE,FALSE,5,1d ago,Eileen Pierce,,Fandango,ca36f6d9-55d2-433b-b652-ab1f4f61f5a9,
45,4.5,"Brilliant, seamless transition from the original to the sequel.  From the same font used in the opening credits, the opening paragraph from the original movie, to the score and perfect conclusion...this movie was nothing short of spectacular.  Worth the wait exponentially!  A nod to every staple in the first movie.",Christine,TRUE,FALSE,FALSE,FALSE,4.5,1d ago,Christine,,Fandango,0762084e-6bb4-44e9-9da8-1bb9e8145261,
46,5,Flight sequences were amazing.  Enjoyed the nods to Top Gun. Nicely done.,Ghosted,TRUE,FALSE,FALSE,FALSE,5,1d ago,Ghosted,,Fandango,CE548645-3A33-47D4-BC26-37143C79AFC7,
47,5,Liked everything about this movie. My second time around.,patricia s,TRUE,FALSE,FALSE,FALSE,5,1d ago,patricia s,,Fandango,551DE0A2-7BB8-4655-B4B7-DBDDD24C142C,
48,5,OMG!!!! AMAZING MOVIE!!!!!,Mary,TRUE,FALSE,FALSE,FALSE,5,2d ago,Mary,,Fandango,879be6e8-c165-4d2d-8842-b7d54499296f,
49,5,This movie is f'n fantastic!  Took me back to 1986.  It is so rare that a movie sequel is written to perfection but this plot was amazing especially looping back in the general's daughter as the love interest and Iceman as the general.   Feel goods all around!!,Paddy S,FALSE,FALSE,FALSE,FALSE,5,2d ago,Paddy S,/user/id/Facebook_693089484,RT,Facebook_693089484,
50,5,Fantastic. That's all I can say. See it! ,,FALSE,FALSE,FALSE,FALSE,5,2d ago,,,Flixster,5a19d96d-910f-43b8-8fb0-0cfafd483d2b,
51,5,"Just left the theater and we're ready to watch it again!  Even MORE excitement, MORE fast-paced action, MORE suspense, and drama than the original movie.  Tom Cruise, Jennifer Connelly and everyone in the cast make this movie SHINE.  We loved how everything came full circle in the plot.  More importantly, Top Gun: Maverick is PROOF that you don't need F word bombs, profane language, and graphic nudity to make a thrilling and memorable movie.  Can't wait to own the DVD!",Em,TRUE,FALSE,FALSE,FALSE,5,2d ago,Em,,Fandango,c930c708-192f-4196-8e31-b64e0e31b567,
52,3.5,This film is pretty unrealistic but the special effects are great and it really keeps your attention.,Pegala,TRUE,FALSE,FALSE,FALSE,3.5,2d ago,Pegala,,Fandango,811e8bcc-9a66-4c00-80a2-98de9eb00ad2,
53,5,Better than the original. If your into the dog fighting and the jets it delivers beyond the first and is a must see on the big screen. ,,FALSE,FALSE,FALSE,FALSE,5,2d ago,,,Flixster,8ee92cbf-2bb2-4571-bdeb-1d59edf4ea01,
54,5,Yes......just......yes.,Axel R,FALSE,FALSE,FALSE,FALSE,5,2d ago,Axel R,/user/id/Google_100096633408437499310,RT,Google_100096633408437499310,
55,5,Awesome movie non stop action one of the best movie sequels of the summer,christopher  g,TRUE,FALSE,FALSE,FALSE,5,2d ago,christopher  g,,Fandango,862F1E5C-687B-4BA5-A8BC-2452FE79698A,
56,5,Action packed.  Loved this movie,Karen D,TRUE,FALSE,FALSE,FALSE,5,2d ago,Karen D,,Fandango,f2d4bded-91c2-4498-b8bd-c681e5387193,
57,5,"Best movie I've seen in a very long time, kept me on the edge of my seat!",Sarah,TRUE,FALSE,FALSE,FALSE,5,2d ago,Sarah,,Fandango,8b4ac4ef-4fa8-43d8-b18d-d806f5fca6d1,
58,5,"Really fun, energetic movie -- they made exactly what fan of the original would want.  Highly recommend!",John T,FALSE,FALSE,FALSE,FALSE,5,2d ago,John T,/user/id/7f9fbfe5-c0af-481f-9b0c-b5a4a94a96c1,RT,7f9fbfe5-c0af-481f-9b0c-b5a4a94a96c1,
59,5,Amazing sequel. The flying scenes were legit. I have zero complaints about this movie!,Julie T,FALSE,FALSE,FALSE,FALSE,5,2d ago,Julie T,/user/id/Google_109297263854120931287,RT,Google_109297263854120931287,
60,5,Exceeded all expectations. This movie was amazing! Emotional and heart pounding action that stays true to the original.,David,TRUE,FALSE,FALSE,FALSE,5,2d ago,David,,Fandango,e6789c79-2a61-4ae3-9071-52cb0d278cc2,
61,3.5,"Fantastic shots of flying fighter jets. Story and acting is so-so. Plot is laughable. But all in all, a good popcorn movie.",Don C,FALSE,FALSE,FALSE,FALSE,3.5,2d ago,Don C,/user/id/4ed85f19-96e7-4e47-9810-19b767b50c2b,RT,4ed85f19-96e7-4e47-9810-19b767b50c2b,
62,5,I'm not even sure how they did it. Somehow they made a movie that nods to the original to spikes the nostalgia pleasure centres and then absolutely surpasses it by creating a simple linear plot executed with such deftness and surety that it practically sets the gold standard for action film making. Outstanding and I want to see it again.,Robert W,FALSE,FALSE,FALSE,FALSE,5,2d ago,Robert W,/user/id/Google_105333407985175155336,RT,Google_105333407985175155336,
63,5,Such an incredible movie. It was just so amazing seeing it in the big screen. Loved everything about the acting was beyond great from everyone and the score was excellent.,Esteban S,FALSE,FALSE,FALSE,FALSE,5,2d ago,Esteban S,/user/id/Google_112078646368314334727,RT,Google_112078646368314334727,
64,5,Filme maravilhoso!!! ❤️,Valria P,FALSE,FALSE,FALSE,FALSE,5,2d ago,Valria P,/user/id/Google_107600290328769468482,RT,Google_107600290328769468482,
65,5,This is absolutely worth the watch,Cyd B,FALSE,FALSE,FALSE,FALSE,5,2d ago,Cyd B,/user/id/Google_100912064723406057730,RT,Google_100912064723406057730,
66,5,Made Tom Cruise likeable. Compared to War of the World were we wanted them all to die.,Connie,TRUE,FALSE,FALSE,FALSE,5,2d ago,Connie,,Fandango,72aaa8f3-2be4-4097-b789-13ed5ca3e7f5,
67,4.5,"When the good guys win it's always fun. Although pulling 10Gs is a little much, I went with it. Also Mach 10 is around 7600 miles per hour or more (i think). But I still was caught up in that scene. Overall, I liked the movie. Good job.",ronald p,TRUE,FALSE,FALSE,FALSE,4.5,2d ago,ronald p,,Fandango,3313d99a-f520-4007-84eb-7fc82c1e9c40,
68,4.5,Story not only of jet planes on combat missions but also of the attitude and relationships of the people flying those missions.,Carl,TRUE,FALSE,FALSE,FALSE,4.5,2d ago,Carl,,Fandango,3bd7a918-4cfd-421a-9f87-b3d854ee6fd4,
69,4.5,Loved it better then  the first,Susan,TRUE,FALSE,FALSE,FALSE,4.5,2d ago,Susan,,Fandango,8316710c-e098-4ff8-a84b-431db7b81b91,
70,5,"This is the best movie I've seen in years!  The aerial scenes are fabulous, and they make you feel like you're right there in them!  This is a highly entertaining film, and a must see - even more than once!",Julie A,FALSE,FALSE,FALSE,FALSE,5,2d ago,Julie A,/user/id/12839eef-3673-47b4-8a7c-0ee380922176,RT,12839eef-3673-47b4-8a7c-0ee380922176,
71,5,Great photography and sound effects. Very good story line. All in all a great movie.,Greg,TRUE,FALSE,FALSE,FALSE,5,2d ago,Greg,,Fandango,c788c041-d790-4e20-82e8-6b77cf08816c,
72,5,"First time seeing it. I missed my chance a couple of times seeing it in IMAX. After knowing it was going to be on this format again, I immediately reserved my ticket and wasn't disappointed. it was worth the watch, worth the wait(for an IMAX opening).",Harlen,TRUE,FALSE,FALSE,FALSE,5,2d ago,Harlen,,Fandango,7478BB80-A3FE-4764-8BEB-2D7FE0C5BA47,
73,5,"Great movie encompassing romance, action and nistalgic references to the original movie. Noisy but very entertaining,",William,TRUE,FALSE,FALSE,FALSE,5,2d ago,William,,Fandango,c245f0cc-ab1d-431e-b8f1-616a46021fbd,
74,3.5,"excelent, interesting, but a little old-fashioned",libai t,FALSE,FALSE,FALSE,FALSE,3.5,2d ago,libai t,/user/id/Google_117363346101947320323,RT,Google_117363346101947320323,
75,5,Enjoyed entire movie,Onita,TRUE,FALSE,FALSE,FALSE,5,2d ago,Onita,,Fandango,b85357e6-b916-4574-8499-6d9a2fcecca5,
76,5,Tom Cruise still got it!  Great movie overall. The first one is slightly better but still a must see!,nhu t,TRUE,FALSE,FALSE,FALSE,5,2d ago,nhu t,,Fandango,a73d1639-57e5-4fbf-ab13-905dc067bdda,
77,5,"This movie is great. I have seen Top Gun as a young kid and did not have so much expectations. 
But this  was amazing, the scenario is simple but there is on need of a complex scenario to enjoy this movie, the characters are brilliants, the emotion is there, the picture is great, I really recommend the movie.",El Gringo B,FALSE,FALSE,FALSE,FALSE,5,2d ago,El Gringo B,/user/id/Google_102662902693526682668,RT,Google_102662902693526682668,
78,5,"One of the best films of all time.  Supersedes the original in everyway, whilst staying loyal to it.",Luke P,FALSE,FALSE,FALSE,FALSE,5,2d ago,Luke P,/user/id/Google_116255813574604359650,RT,Google_116255813574604359650,
79,2.5,"TopGun 2. For me, this is a story that I hoped would be revisited for a very long time. I cannot even count the amount of times I have watched the original. I can even say that for each time I watched it, I still got those great feelings and that tingle of enjoyment running down the spine. For me, it was not just the story, but also the music, that helped carry the story along in one of the most emmersive and exhilarating movies I have ever watched. 
So, when it was announced that TopGun 2 was coming out - called TopGun Maverick, I couldn't wait for it to arrive. After watching it however, I found myself a little perplexed and underwhelmed. Although the movie was good and there was some amazing footage, CGI and action shots that made you feel you were right there with Maverick and the aircraft in the skies, I kept feeling that something was missing. 
There were several things that has fell short of my expectations. TopGun was such an iconic movie, with some fun, excitment, love, honor, emotion and sadness, however there was always the backbone of reality and a noticable danger in flying jets and pushing it to the limit, that Joseph Kosinski and Tony Scott were able to capture on screen so well. This was of course highlighted by the loss of Goose. 
For me, the new movie was too far removed from reality and leaning too much towards fiction and CGI, which I am sure would sit nicely for the younger audience, but not so much for those who were around when the original was released.  To begin the movie with a fictional aircraft that went to mach 10 or more was a stretch and a quick notification that this movie was going to very different from the original. Then, we had charactors that in my opinion were not strong enough to be in this type of movie. Not sure whether it was because they looked too young for the role, or Glen Powell's charactor, who loved himself far too much and bordering on just silly.  Then we have Tom. For me, Tom played a charactor that was far too close to Ethan Hunt from Mission Impossible - rather than Lt. Pete Mitchell. Whether it was the little jokes or facial expressions, the charactor seemed an amalgamation of both of them - although too weighted towards Ethan.
I know the ratings are very good for this movie and I do admit it was good and very action packed, however I guess I am more of the minority rather than the majority in this case. It took me a while to understand what my problem was with this movie and now I think I know why. It is the title that bothers me!
If this was a movie with Tom Cruise who has to train some pilots how to launch some missiles into a hole in the ground, then I am sure it would have been fine and could perhaps even be a mission impossible assignment. However, I do not think it should have been called TopGun Maverick, as I feel the movie is too far removed from the original. A few references here and there to Goose and a connection to his son, was for me, still too weak. There was next to no music at all, which again made the original so iconic, except for one song somewhere in the middle that I forgot about as soon as it finished. 
As much as I love movies with Tom Cruise, this one seems a little lost and way below expectations. If you are going to have a title with TopGun in it, I would expect it to have a closer connection in the original. 
It was good to see at least one of the original charactors made it back from the original. More would have been nice - especially at the funeral. A big tip of the hat to IceMan - Val Kilmer. I wish you well sir!",Steve ,FALSE,FALSE,FALSE,FALSE,2.5,2d ago,Steve ,/user/id/Google_114048924918970008475,RT,Google_114048924918970008475,
80,5,It's been a while since I had a moment of nostalgia. Great Movie!!,David H,TRUE,FALSE,FALSE,FALSE,5,2d ago,David H,,Fandango,3bff73d9-7074-45b4-8e36-48b69aefc06d,
81,5,Top gun maverick is a must watch for anyone who is a fan of high speed action and Tom cruise,Abhishek A,FALSE,FALSE,FALSE,FALSE,5,2d ago,Abhishek A,/user/id/Google_109396208316544015074,RT,Google_109396208316544015074,
82,5,There has not been a movie made this good in a long time. Went to it twice. Everyone should go watch this.,Austin G,FALSE,FALSE,FALSE,FALSE,5,2d ago,Austin G,/user/id/Google_117596790312632997030,RT,Google_117596790312632997030,
83,5,"Tom Cruise does it again. You Son of B***h! 
Great movie!",Jose R L,FALSE,FALSE,FALSE,FALSE,5,2d ago,Jose R L,/user/id/Google_114818177082749382186,RT,Google_114818177082749382186,
84,5,Absolutely perfect sequel to Top Gun. Congratulations and well done!,Tom S,FALSE,FALSE,FALSE,FALSE,5,2d ago,Tom S,/user/id/Google_108673273571992102498,RT,Google_108673273571992102498,
85,5,Great movie and no better way to see it than on a big screen,Neal,TRUE,FALSE,FALSE,FALSE,5,2d ago,Neal,,Fandango,48206acf-8d40-4e4f-ac99-2fae0434dd5f,
86,5,Loved movie. Beautiful theater. Great service from ushers and staff.,Donna,TRUE,FALSE,FALSE,FALSE,5,2d ago,Donna,,Fandango,59994acf-5231-4ad1-a702-f0bbba3ed36a,
87,5,"This movie is like a throwback to the hollywood big budget movies like  Spartacus, and Ben Hur, when there was nonstop action that was realistic, and in the lulls there was great acting romance. This movie grabs your attention and never lets go. For me, this was the best action movie in years, because it was soooo realistic.",wizarddog1,TRUE,FALSE,FALSE,FALSE,5,2d ago,wizarddog1,,Fandango,ff0135fe-ffd3-4286-a3e3-32f078c12d0a,
88,4.5,The action scenes and the jet dog fighting was tremendous. I would have like to have seen more dialog between the characters!!,Renzo and Naty,TRUE,FALSE,FALSE,FALSE,4.5,2d ago,Renzo and Naty,,Fandango,13f6d44d-f4c5-4e96-bbef-777d884744c7,
89,5,"Loooong overdue, but absolutely worth the wait. It did not disappoint!",Sabrina L,TRUE,FALSE,FALSE,FALSE,5,2d ago,Sabrina L,,Fandango,2f07a6b2-4ef0-4398-abef-efb304c359fa,
90,5,The greatest movie I've seen lately.  It was worth the long wait.,Denise D,FALSE,FALSE,FALSE,FALSE,5,2d ago,Denise D,/user/id/Google_111519699388132373219,RT,Google_111519699388132373219,
91,5,Most amazing movie I've seen since Avatar.,Niko T,FALSE,FALSE,FALSE,FALSE,5,3d ago,Niko T,/user/id/Google_101049502537378250666,RT,Google_101049502537378250666,
92,5,Entertainment for all ages. Better than the original! Loved it!,Rudster,TRUE,FALSE,FALSE,FALSE,5,3d ago,Rudster,,Fandango,75986e11-f5b1-44c0-b1a6-09bc602b8bde,
93,2,"The production value is incredible. However, if you are looking for any sort of cohesive, unpredictable, or interesting plot, you won't find it here. There are flaws so egregious I couldn't help but laugh at them. For instance, there is no way mathematically Goose's son is as young as he is. He would have to be over 40. If you are a big fan of the original, you will find plenty of nostalgic nuggets. The last 20 minutes or so of the movie is the only part worth watching. The rest is just insulting to the audience's intelligence. But hey, maybe that's intentional.",Andre V,FALSE,FALSE,FALSE,FALSE,2,3d ago,Andre V,/user/id/Google_113409473560260274294,RT,Google_113409473560260274294,
94,5,"great movie, very entertaining, you will not be bored for sure! highly recommended!",A. D,FALSE,FALSE,FALSE,FALSE,5,3d ago,A. D,/user/id/Google_110416322559305794863,RT,Google_110416322559305794863,
